config,Level,Field,Type,N,ExactAcc,Precision,Recall,F1,HallucinationRate,MissRate_N,MissRate_validGold,N_valid,BothNull,MAE,RMSE,TolAcc_0,TolAcc_0.5,TolAcc_1.0,TolAcc_1.5,TolAcc_2.0,Accuracy,MacroF1,Kappa,AUROC,TolAcc_1,TolAcc_2,TolAcc_3,TolAcc_4,TolAcc_5,ReportExactMatch,ReportExactCount,OverallAverage_4Q,OverallAverage_ref
RuleBased,field,TumorLocation,array,476,0.9097,1.0,0.9129,0.9545,0.0,0.0861,0.0861,,,,,,,,,,,,,,,,,,,,,,
RuleBased,field,TumorCircumference,array,476,0.8382,0.9789,0.7868,0.8724,0.0211,0.1408,0.1435,,,,,,,,,,,,,,,,,,,,,,
RuleBased,field,TumorSize,numeric,476,,,,,0.0,0.0399,0.0402,454.0,3.0,0.0037,0.0798,0.9978,0.9978,0.9978,0.9978,1.0,,,,,,,,,,,,,
RuleBased,field,Histologic_type,array,476,0.8256,0.8354,0.8422,0.8388,0.1646,0.0777,0.0777,,,,,,,,,,,,,,,,,,,,,,
RuleBased,field,Lauren_type,categorical,476,,,,,0.0,0.0252,0.026,450.0,14.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,
RuleBased,field,Differentiation,array,476,0.6029,0.6351,0.6779,0.6558,0.3649,0.0567,0.0651,,,,,,,,,,,,,,,,,,,,,,
RuleBased,field,ProximalMargin,numeric,476,,,,,0.0,0.042,0.0422,454.0,2.0,0.0004,0.0094,0.9978,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
RuleBased,field,DistalMargin,numeric,476,,,,,0.0,0.0462,0.0463,453.0,1.0,0.0026,0.0564,0.9978,0.9978,0.9978,1.0,1.0,,,,,,,,,,,,,
RuleBased,field,LymphovascularInvasion,binary,476,,,,1.0,0.0,0.0021,0.0021,474.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,
RuleBased,field,PerineuralInvasion,binary,476,,,,1.0,0.0,0.0021,0.0021,474.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,
RuleBased,field,T_stage,categorical,476,,,,,0.0,0.0147,0.0148,466.0,3.0,,,,,,,,0.9807,0.8519,0.9743,,,,,,,,,,
RuleBased,field,N_stage,categorical,476,,,,,0.0042,0.0042,0.0042,472.0,0.0,,,,,,,,0.9915,0.8252,0.9828,,,,,,,,,,
RuleBased,field,M_stage,categorical,476,,,,,0.0,0.0105,0.0105,470.0,1.0,,,,,,,,0.9872,0.8813,0.763,,,,,,,,,,
RuleBased,field,Staging,categorical,476,,,,,0.0,0.0441,0.0446,450.0,5.0,,,,,,,,0.9356,0.8081,0.9004,,,,,,,,,,
RuleBased,field,MetastaticLymphNode,numeric,476,,,,,0.0,0.0042,0.0042,474.0,0.0,0.0274,0.387,0.9895,,,,,,,,,0.9958,0.9979,0.9979,0.9979,0.9979,,,,
RuleBased,field,HarvestedLymphNode,numeric,476,,,,,0.0,0.0042,0.0042,474.0,0.0,0.2342,2.9046,0.9852,,,,,,,,,0.9873,0.9873,0.9873,0.9895,0.9916,,,,
RuleBased,report,ALL,report,476,,,,,,,,,,,,,,,,,,,,,,,,,,0.4706,224.0,92.5683,91.6669
Llama3.1-8B_ZeroShot,field,TumorLocation,array,476,0.5672,0.5672,0.6099,0.5878,0.4328,0.0336,0.0336,,,,,,,,,,,,,,,,,,,,,,
Llama3.1-8B_ZeroShot,field,TumorCircumference,array,476,0.6975,0.8198,0.6868,0.7474,0.1802,0.1744,0.1777,,,,,,,,,,,,,,,,,,,,,,
